# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
130000000 480 6117
  172 171.5 0.029438 1.27769e-05
  173 172.5 0.029248 1.26944e-05
  174 173.5 0.028664 1.2441e-05
  175 174.5 0.028236 1.22552e-05
  176 175.5 0.02852 1.23785e-05
  177 176.5 0.028408 1.23299e-05
  178 177.5 0.029012 1.2592e-05
  179 178.5 0.02996 1.30035e-05
  180 179.5 0.030664 1.3309e-05
  181 180.5 0.031488 1.36667e-05
  182 181.5 0.033048 1.43437e-05
  183 182.5 0.030196 1.31059e-05
  184 183.5 0.029142 1.26484e-05
  185 184.5 0.028584 1.24063e-05
  186 185.5 0.028938 1.25599e-05
  187 186.5 0.029608 1.28507e-05
  188 187.5 0.029558 1.2829e-05
  189 188.5 0.02952 1.28125e-05
  190 189.5 0.02955 1.28255e-05
  191 190.5 0.031134 1.3513e-05
  192 191.5 0.03059 1.32769e-05
  193 192.5 0.02929 1.27127e-05
  194 193.5 0.028538 1.23863e-05
  195 194.5 0.02866 1.24392e-05
  196 195.5 0.02881 1.25043e-05
  197 196.5 0.029976 1.30104e-05
  198 197.5 0.030394 1.31918e-05
  199 198.5 0.03099 1.34505e-05
  200 199.5 0.029464 1.27882e-05
  201 200.5 0.029294 1.27144e-05
  202 201.5 0.03 1.30208e-05
  203 202.5 0.029508 1.28073e-05
  204 203.5 0.029436 1.2776e-05
  205 204.5 0.030284 1.31441e-05
  206 205.5 0.0313 1.35851e-05
  207 206.5 0.029834 1.29488e-05
  208 207.5 0.030518 1.32457e-05
  209 208.5 0.030424 1.32049e-05
  210 209.5 0.030048 1.30417e-05
  211 210.5 0.030492 1.32344e-05
  212 211.5 0.029804 1.29358e-05
  213 212.5 0.029588 1.2842e-05
  214 213.5 0.03033 1.31641e-05
  215 214.5 0.029816 1.2941e-05
  216 215.5 0.029106 1.26328e-05
  217 216.5 0.02877 1.2487e-05
  218 217.5 0.030686 1.33186e-05
  219 218.5 0.029808 1.29375e-05
  220 219.5 0.029768 1.29201e-05
  221 220.5 0.031492 1.36684e-05
  222 221.5 0.030828 1.33802e-05
  223 222.5 0.029818 1.29418e-05
  224 223.5 0.030096 1.30625e-05
  225 224.5 0.029832 1.29479e-05
  226 225.5 0.029088 1.2625e-05
  227 226.5 0.029114 1.26363e-05
  228 227.5 0.028668 1.24427e-05
  229 228.5 0.029282 1.27092e-05
  230 229.5 0.028028 1.21649e-05
  231 230.5 0.028346 1.2303e-05
  232 231.5 0.029062 1.26137e-05
  233 232.5 0.029736 1.29062e-05
  234 233.5 0.02838 1.23177e-05
  235 234.5 0.027462 1.19193e-05
  236 235.5 0.027302 1.18498e-05
  237 236.5 0.029032 1.26007e-05
  238 237.5 0.029006 1.25894e-05
  239 238.5 0.028944 1.25625e-05
  240 239.5 0.028642 1.24314e-05
  241 240.5 0.02805 1.21745e-05
  242 241.5 0.026778 1.16224e-05
  243 242.5 0.027896 1.21076e-05
  244 243.5 0.026536 1.15174e-05
  245 244.5 0.026396 1.14566e-05
  246 245.5 0.026212 1.13767e-05
  247 246.5 0.027436 1.1908e-05
  248 247.5 0.028514 1.23759e-05
  249 248.5 0.028722 1.24661e-05
  250 249.5 0.027456 1.19167e-05
  251 250.5 0.027338 1.18655e-05
  252 251.5 0.027486 1.19297e-05
  253 252.5 0.026852 1.16545e-05
  254 253.5 0.026862 1.16589e-05
  255 254.5 0.02702 1.17274e-05
  256 255.5 0.02657 1.15321e-05
  257 256.5 0.026198 1.13707e-05
  258 257.5 0.026696 1.15868e-05
  259 258.5 0.027834 1.20807e-05
  260 259.5 0.027966 1.2138e-05
  261 260.5 0.028172 1.22274e-05
  262 261.5 0.02823 1.22526e-05
  263 262.5 0.029766 1.29193e-05
  264 263.5 0.030146 1.30842e-05
  265 264.5 0.028294 1.22804e-05
  266 265.5 0.02843 1.23394e-05
  267 266.5 0.028916 1.25503e-05
  268 267.5 0.027382 1.18845e-05
  269 268.5 0.028182 1.22318e-05
  270 269.5 0.028136 1.22118e-05
  271 270.5 0.028162 1.22231e-05
  272 271.5 0.02743 1.19054e-05
  273 272.5 0.027842 1.20842e-05
  274 273.5 0.029114 1.26363e-05
  275 274.5 0.029032 1.26007e-05
  276 275.5 0.028602 1.24141e-05
  277 276.5 0.028098 1.21953e-05
  278 277.5 0.02973 1.29036e-05
  279 278.5 0.027324 1.18594e-05
  280 279.5 0.027286 1.18429e-05
  281 280.5 0.026738 1.1605e-05
  282 281.5 0.02648 1.14931e-05
  283 282.5 0.02714 1.17795e-05
  284 283.5 0.027358 1.18741e-05
  285 284.5 0.027616 1.19861e-05
  286 285.5 0.026974 1.17075e-05
  287 286.5 0.02796 1.21354e-05
  288 287.5 0.028648 1.2434e-05
  289 288.5 0.027344 1.18681e-05
  290 289.5 0.028788 1.24948e-05
  291 290.5 0.030166 1.30929e-05
  292 291.5 0.03118 1.3533e-05
  293 292.5 0.034536 1.49896e-05
  294 293.5 0.040226 1.74592e-05
  295 294.5 0.05524 2.39757e-05
  296 295.5 0.08734 3.7908e-05
  297 296.5 0.163666 7.10356e-05
  298 297.5 0.338568 0.000146948
  299 298.5 0.696284 0.000302207
  300 299.5 1.35103 0.000586385
  301 300.5 2.37647 0.00103145
  302 301.5 3.74937 0.00162733
  303 302.5 5.27211 0.00228824
  304 303.5 6.72229 0.00291766
  305 304.5 7.922 0.00343837
  306 305.5 8.84597 0.0038394
  307 306.5 9.5744 0.00415555
  308 307.5 10.1712 0.00441458
  309 308.5 10.6702 0.00463116
  310 309.5 11.1128 0.00482327
  311 310.5 11.6094 0.00503881
  312 311.5 12.1599 0.00527773
  313 312.5 12.7808 0.0055472
  314 313.5 13.4026 0.00581709
  315 314.5 14.1075 0.00612304
  316 315.5 14.8736 0.00645554
  317 316.5 15.6938 0.00681154
  318 317.5 16.4976 0.00716041
  319 318.5 17.3635 0.00753622
  320 319.5 18.2361 0.00791498
  321 320.5 19.0897 0.00828546
  322 321.5 19.9351 0.00865237
  323 322.5 20.7724 0.00901578
  324 323.5 21.6201 0.00938375
  325 324.5 22.3841 0.00971533
  326 325.5 23.2113 0.0100744
