# Chunk-averaged data for fix tensor2 and group c1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 4961.000000000004
  1 0.5 25.6634 0.0111386
  2 1.5 25.353 0.0110039
  3 2.5 24.967 0.0108364
  4 3.5 24.5569 0.0106584
  5 4.5 24.062 0.0104436
  6 5.5 23.3972 0.010155
  7 6.5 22.657 0.00983378
  8 7.5 21.8277 0.00947383
  9 8.5 20.8567 0.00905241
  10 9.5 19.7609 0.00857679
  11 10.5 18.5693 0.0080596
  12 11.5 17.3086 0.0075124
  13 12.5 15.9906 0.00694039
  14 13.5 14.6048 0.00633889
  15 14.5 13.2908 0.00576857
  16 15.5 11.9892 0.00520365
  17 16.5 10.757 0.00466882
  18 17.5 9.62958 0.00417951
  19 18.5 8.62144 0.00374195
  20 19.5 7.69093 0.00333808
  21 20.5 6.87678 0.00298472
  22 21.5 6.14028 0.00266505
  23 22.5 5.52749 0.00239909
  24 23.5 5.00705 0.0021732
  25 24.5 4.5746 0.0019855
  26 25.5 4.20944 0.00182701
  27 26.5 3.89671 0.00169128
  28 27.5 3.63541 0.00157787
  29 28.5 3.42723 0.00148751
  30 29.5 3.26712 0.00141802
  31 30.5 3.13757 0.00136179
  32 31.5 3.03762 0.00131841
  33 32.5 2.94841 0.00127969
  34 33.5 2.90047 0.00125888
  35 34.5 2.85718 0.00124009
  36 35.5 2.82792 0.0012274
  37 36.5 2.79534 0.00121326
  38 37.5 2.76486 0.00120002
  39 38.5 2.75671 0.00119649
  40 39.5 2.73892 0.00118877
  41 40.5 2.72973 0.00118478
  42 41.5 2.72268 0.00118172
  43 42.5 2.70702 0.00117492
  44 43.5 2.70327 0.00117329
  45 44.5 2.70039 0.00117204
  46 45.5 2.69463 0.00116954
  47 46.5 2.6974 0.00117075
  48 47.5 2.70059 0.00117213
  49 48.5 2.69418 0.00116935
  50 49.5 2.69922 0.00117154
  51 50.5 2.71379 0.00117786
  52 51.5 2.70851 0.00117557
  53 52.5 2.71283 0.00117744
  54 53.5 2.71137 0.00117681
  55 54.5 2.71793 0.00117966
  56 55.5 2.71311 0.00117756
  57 56.5 2.71267 0.00117738
  58 57.5 2.72437 0.00118245
  59 58.5 2.71348 0.00117773
  60 59.5 2.71271 0.00117739
  61 60.5 2.71424 0.00117805
  62 61.5 2.71091 0.00117661
  63 62.5 2.71778 0.00117959
  64 63.5 2.7124 0.00117726
  65 64.5 2.7207 0.00118086
  66 65.5 2.72159 0.00118125
  67 66.5 2.72267 0.00118171
  68 67.5 2.72295 0.00118184
  69 68.5 2.72508 0.00118276
  70 69.5 2.72691 0.00118355
  71 70.5 2.72517 0.0011828
  72 71.5 2.7157 0.00117869
  73 72.5 2.71019 0.0011763
  74 73.5 2.71023 0.00117631
  75 74.5 2.73166 0.00118562
  76 75.5 2.72232 0.00118156
  77 76.5 2.71722 0.00117935
  78 77.5 2.71179 0.00117699
  79 78.5 2.71924 0.00118022
  80 79.5 2.72392 0.00118226
  81 80.5 2.72446 0.00118249
  82 81.5 2.71663 0.00117909
  83 82.5 2.72394 0.00118226
  84 83.5 2.72602 0.00118317
  85 84.5 2.72403 0.0011823
  86 85.5 2.72728 0.00118372
  87 86.5 2.72506 0.00118275
  88 87.5 2.72655 0.0011834
  89 88.5 2.73364 0.00118648
  90 89.5 2.72749 0.00118381
  91 90.5 2.7274 0.00118377
  92 91.5 2.71637 0.00117898
  93 92.5 2.71194 0.00117706
  94 93.5 2.70157 0.00117256
  95 94.5 2.70724 0.00117502
  96 95.5 2.71147 0.00117685
  97 96.5 2.71525 0.00117849
  98 97.5 2.7227 0.00118173
  99 98.5 2.73104 0.00118535
