# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 6794.999999999998
  1 0.5 0.00062 2.69097e-07
  2 1.5 0.000388 1.68403e-07
  3 2.5 0.0003 1.30208e-07
  4 3.5 0.000234 1.01562e-07
  5 4.5 0.00015 6.51042e-08
  6 5.5 8.2e-05 3.55903e-08
  7 6.5 2e-05 8.68056e-09
  8 7.5 3e-05 1.30208e-08
  9 8.5 2e-05 8.68056e-09
  10 9.5 1.6e-05 6.94444e-09
  11 10.5 2.4e-05 1.04167e-08
  12 11.5 4e-06 1.73611e-09
  13 12.5 0 0
  14 13.5 0 0
  15 14.5 0 0
  16 15.5 0 0
  17 16.5 0 0
  18 17.5 0 0
  19 18.5 0 0
  20 19.5 0 0
  21 20.5 0 0
  22 21.5 0 0
  23 22.5 0 0
  24 23.5 0 0
  25 24.5 0 0
  26 25.5 0 0
  27 26.5 0 0
  28 27.5 0 0
  29 28.5 0 0
  30 29.5 0 0
  31 30.5 0 0
  32 31.5 0 0
  33 32.5 0 0
  34 33.5 0 0
  35 34.5 0 0
  36 35.5 0 0
  37 36.5 0 0
  38 37.5 0 0
  39 38.5 0 0
  40 39.5 0 0
  41 40.5 0 0
  42 41.5 0 0
  43 42.5 0 0
  44 43.5 0 0
  45 44.5 0 0
  46 45.5 0 0
  47 46.5 0 0
  48 47.5 0 0
  49 48.5 0 0
  50 49.5 0 0
  51 50.5 0 0
  52 51.5 0 0
  53 52.5 0 0
  54 53.5 0 0
  55 54.5 0 0
  56 55.5 0 0
  57 56.5 0 0
  58 57.5 0 0
  59 58.5 0 0
  60 59.5 0 0
  61 60.5 0 0
  62 61.5 0 0
  63 62.5 0 0
  64 63.5 0 0
  65 64.5 0 0
  66 65.5 0 0
  67 66.5 0 0
  68 67.5 0 0
  69 68.5 0 0
  70 69.5 0 0
  71 70.5 0 0
  72 71.5 0 0
  73 72.5 0 0
  74 73.5 0 0
  75 74.5 0 0
  76 75.5 0 0
  77 76.5 0 0
  78 77.5 0 0
  79 78.5 0 0
  80 79.5 0 0
  81 80.5 0 0
  82 81.5 0 0
  83 82.5 0 0
  84 83.5 0 0
  85 84.5 0 0
  86 85.5 0 0
  87 86.5 0 0
  88 87.5 0 0
  89 88.5 0 0
  90 89.5 0 0
  91 90.5 0 0
  92 91.5 0 0
  93 92.5 0 0
  94 93.5 0 0
  95 94.5 0 0
  96 95.5 0 0
  97 96.5 0 0
  98 97.5 0 0
  99 98.5 0 0
  100 99.5 0 0
  101 100.5 0 0
  102 101.5 0 0
  103 102.5 0 0
  104 103.5 0 0
  105 104.5 0 0
  106 105.5 0 0
  107 106.5 0 0
  108 107.5 0 0
  109 108.5 0 0
  110 109.5 0 0
  111 110.5 0 0
  112 111.5 0 0
  113 112.5 0 0
  114 113.5 0 0
  115 114.5 0 0
  116 115.5 0 0
  117 116.5 0 0
  118 117.5 0 0
  119 118.5 0 0
  120 119.5 0 0
  121 120.5 0 0
  122 121.5 0 0
  123 122.5 0 0
  124 123.5 0 0
  125 124.5 0 0
  126 125.5 0 0
  127 126.5 0 0
  128 127.5 0 0
  129 128.5 0 0
  130 129.5 0 0
  131 130.5 0 0
  132 131.5 0 0
  133 132.5 0 0
  134 133.5 0 0
  135 134.5 0 0
  136 135.5 0 0
  137 136.5 0 0
  138 137.5 0 0
  139 138.5 0 0
  140 139.5 0 0
  141 140.5 0 0
  142 141.5 0 0
  143 142.5 0 0
  144 143.5 0 0
  145 144.5 0 0
  146 145.5 0 0
  147 146.5 0 0
  148 147.5 0 0
  149 148.5 0 0
  150 149.5 0 0
  151 150.5 0 0
  152 151.5 0 0
  153 152.5 0 0
  154 153.5 0 0
  155 154.5 0 0
  156 155.5 0 0
  157 156.5 0 0
  158 157.5 0 0
  159 158.5 0 0
  160 159.5 0 0
  161 160.5 0 0
  162 161.5 0 0
  163 162.5 0 0
  164 163.5 0 0
  165 164.5 0 0
  166 165.5 0 0
  167 166.5 0 0
  168 167.5 0 0
  169 168.5 0 0
  170 169.5 0 0
  171 170.5 0 0
  172 171.5 0 0
  173 172.5 0 0
  174 173.5 0 0
  175 174.5 0 0
  176 175.5 0 0
  177 176.5 0 0
  178 177.5 0 0
  179 178.5 0 0
  180 179.5 0 0
  181 180.5 0 0
  182 181.5 0 0
  183 182.5 0 0
  184 183.5 0 0
  185 184.5 0 0
  186 185.5 0 0
  187 186.5 0 0
  188 187.5 0 0
  189 188.5 0 0
  190 189.5 0 0
  191 190.5 0 0
  192 191.5 0 0
  193 192.5 0 0
  194 193.5 0 0
  195 194.5 0 0
  196 195.5 0 0
  197 196.5 4e-06 1.73611e-09
  198 197.5 8.6e-05 3.73264e-08
  199 198.5 0.000126 5.46875e-08
  200 199.5 6.6e-05 2.86458e-08
  201 200.5 0.000184 7.98611e-08
  202 201.5 0.000592 2.56944e-07
  203 202.5 0.001014 4.40104e-07
  204 203.5 0.002012 8.73264e-07
  205 204.5 0.006966 3.02344e-06
  206 205.5 0.061656 2.67604e-05
  207 206.5 0.35675 0.000154839
  208 207.5 1.48582 0.000644889
  209 208.5 4.80677 0.00208627
  210 209.5 9.954 0.00432031
  211 210.5 16.4933 0.00715856
  212 211.5 24.8208 0.0107729
  213 212.5 32.7288 0.0142052
  214 213.5 37.5737 0.016308
  215 214.5 40.4791 0.0175691
  216 215.5 42.6665 0.0185185
  217 216.5 43.6773 0.0189571
  218 217.5 44.5794 0.0193487
  219 218.5 44.9961 0.0195295
  220 219.5 45.4924 0.019745
  221 220.5 45.7141 0.0198412
  222 221.5 45.5664 0.0197771
  223 222.5 45.5851 0.0197852
  224 223.5 45.7895 0.0198739
  225 224.5 45.6894 0.0198305
  226 225.5 45.5682 0.0197778
  227 226.5 45.7678 0.0198645
  228 227.5 45.7748 0.0198675
  229 228.5 45.587 0.019786
  230 229.5 45.7041 0.0198368
  231 230.5 45.8048 0.0198806
  232 231.5 45.6612 0.0198182
  233 232.5 45.6312 0.0198052
  234 233.5 45.7978 0.0198775
  235 234.5 45.7345 0.01985
  236 235.5 45.6133 0.0197974
  237 236.5 45.7332 0.0198495
  238 237.5 45.789 0.0198737
  239 238.5 45.6454 0.0198114
  240 239.5 45.6638 0.0198193
  241 240.5 45.7874 0.019873
  242 241.5 45.7144 0.0198413
  243 242.5 45.6207 0.0198007
  244 243.5 45.7466 0.0198553
  245 244.5 45.7483 0.0198561
  246 245.5 45.6305 0.0198049
  247 246.5 45.6944 0.0198326
  248 247.5 45.7418 0.0198532
  249 248.5 45.6735 0.0198236
  250 249.5 45.6156 0.0197984
  251 250.5 45.7454 0.0198548
  252 251.5 45.6217 0.0198011
  253 252.5 45.6295 0.0198045
  254 253.5 45.6719 0.0198229
  255 254.5 45.5652 0.0197766
  256 255.5 45.5733 0.0197801
  257 256.5 45.5616 0.019775
  258 257.5 45.3334 0.0196759
  259 258.5 45.3482 0.0196824
  260 259.5 45.2764 0.0196512
  261 260.5 44.6132 0.0193634
  262 261.5 44.2027 0.0191852
  263 262.5 43.3899 0.0188324
  264 263.5 42.0208 0.0182382
  265 264.5 43.0849 0.0187
  266 265.5 43.7889 0.0190056
  267 266.5 42.6415 0.0185076
  268 267.5 45.9133 0.0199277
  269 268.5 44.5155 0.019321
  270 269.5 45.3086 0.0196652
  271 270.5 46.9948 0.0203971
  272 271.5 44.0883 0.0191356
  273 272.5 47.3812 0.0205647
  274 273.5 45.858 0.0199037
  275 274.5 44.9003 0.019488
  276 275.5 47.9516 0.0208123
  277 276.5 44.1895 0.0191795
  278 277.5 46.7443 0.0202883
  279 278.5 46.9406 0.0203735
  280 279.5 43.9256 0.0190649
  281 280.5 47.8569 0.0207712
  282 281.5 45.1447 0.019594
  283 282.5 45.3841 0.0196979
  284 283.5 47.5829 0.0206523
  285 284.5 43.8874 0.0190483
  286 285.5 46.9739 0.020388
  287 286.5 46.3581 0.0201207
  288 287.5 44.2115 0.019189
  289 288.5 47.5172 0.0206238
  290 289.5 44.7567 0.0194256
  291 290.5 45.6685 0.0198214
  292 291.5 47.156 0.020467
  293 292.5 43.8285 0.0190228
  294 293.5 46.84 0.0203299
  295 294.5 46.0512 0.0199875
