# Chunk-averaged data for fix tensor2 and group c1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 4759.999999999997
  1 0.5 24.0027 0.0104178
  2 1.5 24.0038 0.0104183
  3 2.5 23.987 0.010411
  4 3.5 23.9725 0.0104047
  5 4.5 23.9651 0.0104015
  6 5.5 23.9523 0.010396
  7 6.5 23.96 0.0103993
  8 7.5 23.93 0.0103863
  9 8.5 23.9452 0.0103929
  10 9.5 23.9293 0.010386
  11 10.5 23.9117 0.0103783
  12 11.5 23.9173 0.0103808
  13 12.5 23.9169 0.0103806
  14 13.5 23.9022 0.0103742
  15 14.5 23.9086 0.010377
  16 15.5 23.9075 0.0103765
  17 16.5 23.9526 0.0103961
  18 17.5 23.89 0.0103689
  19 18.5 23.909 0.0103772
  20 19.5 23.9153 0.0103799
  21 20.5 23.8924 0.01037
  22 21.5 23.8947 0.0103709
  23 22.5 23.9037 0.0103749
  24 23.5 23.8773 0.0103634
  25 24.5 23.8625 0.010357
  26 25.5 23.8577 0.0103549
  27 26.5 23.8046 0.0103319
  28 27.5 23.7848 0.0103233
  29 28.5 23.7336 0.010301
  30 29.5 23.6806 0.0102781
  31 30.5 23.6238 0.0102534
  32 31.5 23.4962 0.010198
  33 32.5 23.3748 0.0101453
  34 33.5 23.1916 0.0100658
  35 34.5 22.9926 0.00997942
  36 35.5 22.7146 0.00985875
  37 36.5 22.4161 0.00972919
  38 37.5 22.0103 0.0095531
  39 38.5 21.5121 0.00933684
  40 39.5 20.9619 0.00909807
  41 40.5 20.2448 0.00878681
  42 41.5 19.4848 0.00845695
  43 42.5 18.5455 0.00804925
  44 43.5 17.4522 0.00757476
  45 44.5 16.319 0.00708291
  46 45.5 15.06 0.00653648
  47 46.5 13.7331 0.00596056
  48 47.5 12.4045 0.00538392
  49 48.5 11.0798 0.00480892
  50 49.5 9.80313 0.00425483
  51 50.5 8.58895 0.00372784
  52 51.5 7.506 0.00325781
  53 52.5 6.52786 0.00283327
  54 53.5 5.68691 0.00246828
  55 54.5 4.96997 0.0021571
  56 55.5 4.37787 0.00190012
  57 56.5 3.90086 0.00169308
  58 57.5 3.51494 0.00152558
  59 58.5 3.20983 0.00139316
  60 59.5 2.97435 0.00129095
  61 60.5 2.77872 0.00120604
  62 61.5 2.63864 0.00114524
  63 62.5 2.52785 0.00109716
  64 63.5 2.44868 0.0010628
  65 64.5 2.38228 0.00103398
  66 65.5 2.33836 0.00101491
  67 66.5 2.29977 0.000998165
  68 67.5 2.27005 0.000985263
  69 68.5 2.2572 0.000979687
  70 69.5 2.23502 0.000970063
  71 70.5 2.21426 0.00096105
  72 71.5 2.20628 0.000957587
  73 72.5 2.194 0.000952259
  74 73.5 2.18332 0.000947622
  75 74.5 2.1858 0.000948698
  76 75.5 2.19265 0.000951672
  77 76.5 2.18262 0.000947317
  78 77.5 2.18644 0.000948974
  79 78.5 2.19105 0.000950977
  80 79.5 2.18203 0.000947063
  81 80.5 2.1796 0.000946007
  82 81.5 2.1707 0.000942142
  83 82.5 2.17557 0.00094426
  84 83.5 2.18115 0.000946678
  85 84.5 2.18662 0.000949054
  86 85.5 2.19027 0.00095064
  87 86.5 2.19443 0.000952444
  88 87.5 2.19367 0.000952115
  89 88.5 2.20111 0.000955343
  90 89.5 2.20017 0.000954934
  91 90.5 2.20276 0.000956061
  92 91.5 2.2022 0.000955817
  93 92.5 2.20537 0.000957193
  94 93.5 2.207 0.000957899
  95 94.5 2.21169 0.000959936
  96 95.5 2.21938 0.000963272
  97 96.5 2.21854 0.000962906
  98 97.5 2.21135 0.000959789
  99 98.5 2.2094 0.000958942
  100 99.5 2.21518 0.000961451
  101 100.5 2.20988 0.000959148
  102 101.5 2.2024 0.000955901
  103 102.5 2.20601 0.00095747
  104 103.5 2.20595 0.000957442
  105 104.5 2.19613 0.000953182
  106 105.5 2.21472 0.000961252
  107 106.5 2.19752 0.000953786
  108 107.5 2.19937 0.000954587
  109 108.5 2.19464 0.000952533
  110 109.5 2.18902 0.000950096
