# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 6447.999999999996
  1 0.5 0.00219 9.50521e-07
  2 1.5 0.002326 1.00955e-06
  3 2.5 0.002424 1.05208e-06
  4 3.5 0.002314 1.00434e-06
  5 4.5 0.002658 1.15365e-06
  6 5.5 0.002492 1.0816e-06
  7 6.5 0.002696 1.17014e-06
  8 7.5 0.002596 1.12674e-06
  9 8.5 0.00253 1.09809e-06
  10 9.5 0.002518 1.09288e-06
  11 10.5 0.002336 1.01389e-06
  12 11.5 0.002066 8.96701e-07
  13 12.5 0.00212 9.20139e-07
  14 13.5 0.002168 9.40972e-07
  15 14.5 0.002194 9.52257e-07
  16 15.5 0.002388 1.03646e-06
  17 16.5 0.002558 1.11024e-06
  18 17.5 0.002792 1.21181e-06
  19 18.5 0.002536 1.10069e-06
  20 19.5 0.002362 1.02517e-06
  21 20.5 0.002836 1.2309e-06
  22 21.5 0.003064 1.32986e-06
  23 22.5 0.003008 1.30556e-06
  24 23.5 0.003342 1.45052e-06
  25 24.5 0.00353 1.53212e-06
  26 25.5 0.003604 1.56424e-06
  27 26.5 0.003698 1.60503e-06
  28 27.5 0.004696 2.03819e-06
  29 28.5 0.004962 2.15365e-06
  30 29.5 0.005758 2.49913e-06
  31 30.5 0.006812 2.9566e-06
  32 31.5 0.007818 3.39323e-06
  33 32.5 0.008986 3.90017e-06
  34 33.5 0.009188 3.98785e-06
  35 34.5 0.01005 4.36198e-06
  36 35.5 0.011118 4.82552e-06
  37 36.5 0.01186 5.14757e-06
  38 37.5 0.013814 5.99566e-06
  39 38.5 0.01487 6.45399e-06
  40 39.5 0.015042 6.52865e-06
  41 40.5 0.015624 6.78125e-06
  42 41.5 0.016986 7.3724e-06
  43 42.5 0.017672 7.67014e-06
  44 43.5 0.020384 8.84722e-06
  45 44.5 0.02229 9.67448e-06
  46 45.5 0.02386 1.03559e-05
  47 46.5 0.02649 1.14974e-05
  48 47.5 0.02986 1.29601e-05
  49 48.5 0.033334 1.44679e-05
  50 49.5 0.034558 1.49991e-05
  51 50.5 0.037468 1.62622e-05
  52 51.5 0.039788 1.72691e-05
  53 52.5 0.039516 1.7151e-05
  54 53.5 0.04204 1.82465e-05
  55 54.5 0.042472 1.8434e-05
  56 55.5 0.04443 1.92839e-05
  57 56.5 0.045584 1.97847e-05
  58 57.5 0.045598 1.97908e-05
  59 58.5 0.045126 1.95859e-05
  60 59.5 0.04662 2.02344e-05
  61 60.5 0.046988 2.03941e-05
  62 61.5 0.046872 2.03437e-05
  63 62.5 0.04645 2.01606e-05
  64 63.5 0.045352 1.9684e-05
  65 64.5 0.045512 1.97535e-05
  66 65.5 0.049398 2.14401e-05
  67 66.5 0.050178 2.17786e-05
  68 67.5 0.049962 2.16849e-05
  69 68.5 0.050194 2.17856e-05
  70 69.5 0.049124 2.13212e-05
  71 70.5 0.048808 2.1184e-05
  72 71.5 0.04695 2.03776e-05
  73 72.5 0.050404 2.18767e-05
  74 73.5 0.051136 2.21944e-05
  75 74.5 0.052152 2.26354e-05
  76 75.5 0.05285 2.29384e-05
  77 76.5 0.052376 2.27326e-05
  78 77.5 0.050584 2.19549e-05
  79 78.5 0.051314 2.22717e-05
  80 79.5 0.052378 2.27335e-05
  81 80.5 0.051788 2.24774e-05
  82 81.5 0.053334 2.31484e-05
  83 82.5 0.053044 2.30226e-05
  84 83.5 0.054896 2.38264e-05
  85 84.5 0.054958 2.38533e-05
  86 85.5 0.055446 2.40651e-05
  87 86.5 0.056288 2.44306e-05
  88 87.5 0.053642 2.32821e-05
  89 88.5 0.053038 2.302e-05
  90 89.5 0.050356 2.18559e-05
  91 90.5 0.052514 2.27925e-05
  92 91.5 0.052624 2.28403e-05
  93 92.5 0.049922 2.16675e-05
  94 93.5 0.05104 2.21528e-05
  95 94.5 0.05134 2.2283e-05
  96 95.5 0.05152 2.23611e-05
  97 96.5 0.049322 2.14071e-05
  98 97.5 0.049808 2.16181e-05
  99 98.5 0.05266 2.28559e-05
  100 99.5 0.052696 2.28715e-05
  101 100.5 0.052344 2.27187e-05
  102 101.5 0.052324 2.27101e-05
  103 102.5 0.051836 2.24983e-05
  104 103.5 0.052714 2.28793e-05
  105 104.5 0.05093 2.2105e-05
  106 105.5 0.051976 2.2559e-05
  107 106.5 0.053346 2.31536e-05
  108 107.5 0.053068 2.3033e-05
  109 108.5 0.053804 2.33524e-05
  110 109.5 0.05351 2.32248e-05
  111 110.5 0.053316 2.31406e-05
  112 111.5 0.053704 2.3309e-05
  113 112.5 0.054348 2.35885e-05
  114 113.5 0.055692 2.41719e-05
  115 114.5 0.055522 2.40981e-05
  116 115.5 0.055296 2.4e-05
  117 116.5 0.054096 2.34792e-05
  118 117.5 0.054664 2.37257e-05
  119 118.5 0.05539 2.40408e-05
  120 119.5 0.056352 2.44583e-05
  121 120.5 0.056324 2.44462e-05
  122 121.5 0.057132 2.47969e-05
  123 122.5 0.05928 2.57292e-05
  124 123.5 0.057398 2.49123e-05
  125 124.5 0.056172 2.43802e-05
  126 125.5 0.05805 2.51953e-05
  127 126.5 0.058294 2.53012e-05
  128 127.5 0.06019 2.61241e-05
  129 128.5 0.061926 2.68776e-05
  130 129.5 0.061832 2.68368e-05
  131 130.5 0.062402 2.70842e-05
  132 131.5 0.061074 2.65078e-05
  133 132.5 0.06126 2.65885e-05
  134 133.5 0.063574 2.75929e-05
  135 134.5 0.06183 2.68359e-05
  136 135.5 0.063174 2.74193e-05
  137 136.5 0.064306 2.79106e-05
  138 137.5 0.062834 2.72717e-05
  139 138.5 0.064154 2.78446e-05
  140 139.5 0.064738 2.80981e-05
  141 140.5 0.06618 2.8724e-05
  142 141.5 0.06782 2.94358e-05
  143 142.5 0.067362 2.9237e-05
  144 143.5 0.06773 2.93967e-05
  145 144.5 0.068178 2.95911e-05
  146 145.5 0.066616 2.89132e-05
  147 146.5 0.067252 2.91892e-05
  148 147.5 0.068098 2.95564e-05
  149 148.5 0.065466 2.84141e-05
  150 149.5 0.065906 2.8605e-05
  151 150.5 0.064828 2.81372e-05
  152 151.5 0.065402 2.83863e-05
  153 152.5 0.06439 2.7947e-05
  154 153.5 0.064318 2.79158e-05
  155 154.5 0.064474 2.79835e-05
  156 155.5 0.064826 2.81363e-05
  157 156.5 0.065812 2.85642e-05
  158 157.5 0.066566 2.88915e-05
  159 158.5 0.067622 2.93498e-05
  160 159.5 0.067062 2.91068e-05
  161 160.5 0.069828 3.03073e-05
  162 161.5 0.072624 3.15208e-05
  163 162.5 0.073074 3.17161e-05
  164 163.5 0.075698 3.2855e-05
  165 164.5 0.082106 3.56363e-05
  166 165.5 0.097642 4.23793e-05
  167 166.5 0.12772 5.5434e-05
  168 167.5 0.213546 9.26849e-05
  169 168.5 0.52817 0.00022924
  170 169.5 1.22033 0.000529655
  171 170.5 2.68369 0.0011648
  172 171.5 5.61598 0.00243749
  173 172.5 10.4524 0.00453662
  174 173.5 16.602 0.00720574
  175 174.5 22.3673 0.00970804
  176 175.5 29.1058 0.0126327
  177 176.5 37.2828 0.0161818
  178 177.5 41.6532 0.0180787
  179 178.5 42.3531 0.0183824
  180 179.5 42.7133 0.0185388
  181 180.5 43.5382 0.0188968
  182 181.5 43.828 0.0190226
  183 182.5 43.773 0.0189987
