# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
52500000 480 5524.000000000001
  1 0.5 3.18396 0.00138193
  2 1.5 3.175 0.00137804
  3 2.5 3.16022 0.00137163
  4 3.5 3.11667 0.00135272
  5 4.5 3.12258 0.00135528
  6 5.5 3.13271 0.00135968
  7 6.5 3.13318 0.00135989
  8 7.5 3.14764 0.00136616
  9 8.5 3.10961 0.00134966
  10 9.5 3.07009 0.0013325
  11 10.5 3.06894 0.00133201
  12 11.5 3.0026 0.00130321
  13 12.5 2.97726 0.00129221
  14 13.5 2.99345 0.00129924
  15 14.5 2.9405 0.00127626
  16 15.5 2.93337 0.00127316
  17 16.5 2.91682 0.00126598
  18 17.5 2.8718 0.00124644
  19 18.5 2.86146 0.00124195
  20 19.5 2.86318 0.0012427
  21 20.5 2.85858 0.0012407
  22 21.5 2.88086 0.00125037
  23 22.5 2.84122 0.00123317
  24 23.5 2.84994 0.00123695
  25 24.5 2.84267 0.0012338
  26 25.5 2.8942 0.00125616
  27 26.5 2.88984 0.00125427
  28 27.5 2.88383 0.00125166
  29 28.5 2.89344 0.00125583
  30 29.5 2.89614 0.001257
  31 30.5 2.85638 0.00123975
  32 31.5 2.8609 0.00124171
  33 32.5 2.85741 0.00124019
  34 33.5 2.84847 0.00123632
  35 34.5 2.86351 0.00124284
  36 35.5 2.87955 0.00124981
  37 36.5 2.90033 0.00125882
  38 37.5 2.87074 0.00124598
  39 38.5 2.87213 0.00124658
  40 39.5 2.8912 0.00125486
  41 40.5 2.88706 0.00125306
  42 41.5 2.8975 0.0012576
  43 42.5 2.87817 0.0012492
  44 43.5 2.89356 0.00125589
  45 44.5 2.88893 0.00125387
  46 45.5 2.87054 0.00124589
  47 46.5 2.84845 0.00123631
  48 47.5 2.83434 0.00123018
  49 48.5 2.83048 0.00122851
  50 49.5 2.84562 0.00123508
  51 50.5 2.88533 0.00125231
  52 51.5 2.90606 0.00126131
  53 52.5 2.86778 0.0012447
  54 53.5 2.85585 0.00123952
  55 54.5 2.87635 0.00124842
  56 55.5 2.91505 0.00126521
  57 56.5 2.90182 0.00125947
  58 57.5 2.89972 0.00125856
  59 58.5 2.93357 0.00127325
  60 59.5 2.92932 0.00127141
  61 60.5 2.91013 0.00126308
  62 61.5 2.93187 0.00127251
  63 62.5 2.94123 0.00127658
  64 63.5 2.96412 0.00128651
  65 64.5 2.97474 0.00129112
  66 65.5 2.98537 0.00129573
  67 66.5 3.00413 0.00130387
  68 67.5 3.03639 0.00131788
  69 68.5 3.05738 0.00132699
  70 69.5 3.04944 0.00132354
  71 70.5 3.06624 0.00133083
  72 71.5 3.16047 0.00137173
  73 72.5 3.18426 0.00138206
  74 73.5 3.20913 0.00139285
  75 74.5 3.25542 0.00141294
  76 75.5 3.3101 0.00143667
  77 76.5 3.39718 0.00147447
  78 77.5 3.48209 0.00151132
  79 78.5 3.56904 0.00154906
  80 79.5 3.67834 0.0015965
  81 80.5 3.83622 0.00166503
  82 81.5 3.97799 0.00172656
  83 82.5 4.15336 0.00180267
  84 83.5 4.29346 0.00186348
  85 84.5 4.42154 0.00191907
  86 85.5 4.53318 0.00196753
  87 86.5 4.58722 0.00199098
  88 87.5 4.60002 0.00199653
  89 88.5 4.50858 0.00195685
  90 89.5 4.3202 0.00187509
  91 90.5 4.04532 0.00175578
  92 91.5 3.72758 0.00161787
  93 92.5 3.35365 0.00145558
  94 93.5 2.95461 0.00128238
  95 94.5 2.54378 0.00110407
  96 95.5 2.1737 0.000943448
  97 96.5 1.86634 0.000810045
  98 97.5 1.58249 0.000686844
  99 98.5 1.35472 0.000587986
  100 99.5 1.17678 0.000510753
  101 100.5 1.04048 0.000451597
  102 101.5 0.925816 0.00040183
  103 102.5 0.843368 0.000366045
  104 103.5 0.803656 0.000348809
  105 104.5 0.769024 0.000333778
  106 105.5 0.742056 0.000322073
  107 106.5 0.71928 0.000312188
  108 107.5 0.704272 0.000305674
  109 108.5 0.6956 0.00030191
  110 109.5 0.69376 0.000301111
  111 110.5 0.672352 0.000291819
  112 111.5 0.655432 0.000284476
  113 112.5 0.652824 0.000283344
  114 113.5 0.661968 0.000287313
  115 114.5 0.660136 0.000286517
  116 115.5 0.660848 0.000286826
  117 116.5 0.65776 0.000285486
  118 117.5 0.663216 0.000287854
  119 118.5 0.661128 0.000286948
  120 119.5 0.656352 0.000284875
  121 120.5 0.665424 0.000288813
  122 121.5 0.658208 0.000285681
  123 122.5 0.657808 0.000285507
  124 123.5 0.661248 0.000287
  125 124.5 0.661112 0.000286941
  126 125.5 0.67776 0.000294167
  127 126.5 0.671896 0.000291622
  128 127.5 0.66904 0.000290382
  129 128.5 0.667992 0.000289927
  130 129.5 0.661536 0.000287125
