# Chunk-averaged data for fix tensor2 and group c1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 5041
  1 0.5 11.6346 0.00504975
  2 1.5 10.241 0.00444486
  3 2.5 8.97012 0.00389328
  4 3.5 7.81224 0.00339073
  5 4.5 6.79315 0.00294841
  6 5.5 5.93984 0.00257805
  7 6.5 5.17553 0.00224633
  8 7.5 4.56534 0.00198148
  9 8.5 4.07826 0.00177008
  10 9.5 3.687 0.00160026
  11 10.5 3.37758 0.00146596
  12 11.5 3.12635 0.00135692
  13 12.5 2.94778 0.00127942
  14 13.5 2.80653 0.00121811
  15 14.5 2.6966 0.0011704
  16 15.5 2.61729 0.00113598
  17 16.5 2.55927 0.00111079
  18 17.5 2.52416 0.00109555
  19 18.5 2.49786 0.00108414
  20 19.5 2.46732 0.00107089
  21 20.5 2.44343 0.00106052
  22 21.5 2.42894 0.00105423
  23 22.5 2.42208 0.00105125
  24 23.5 2.40476 0.00104373
  25 24.5 2.4003 0.0010418
  26 25.5 2.40169 0.0010424
  27 26.5 2.40133 0.00104224
  28 27.5 2.38624 0.0010357
  29 28.5 2.39003 0.00103734
  30 29.5 2.38487 0.0010351
  31 30.5 2.38472 0.00103504
  32 31.5 2.39036 0.00103748
  33 32.5 2.38961 0.00103716
  34 33.5 2.39847 0.001041
  35 34.5 2.39851 0.00104102
  36 35.5 2.39171 0.00103807
  37 36.5 2.40374 0.00104329
  38 37.5 2.39794 0.00104077
  39 38.5 2.4052 0.00104392
  40 39.5 2.4113 0.00104657
  41 40.5 2.429 0.00105425
  42 41.5 2.42397 0.00105207
  43 42.5 2.42758 0.00105364
  44 43.5 2.4225 0.00105143
  45 44.5 2.41297 0.0010473
  46 45.5 2.42132 0.00105092
  47 46.5 2.43637 0.00105745
  48 47.5 2.42149 0.00105099
  49 48.5 2.42453 0.00105232
  50 49.5 2.42488 0.00105246
  51 50.5 2.4264 0.00105313
  52 51.5 2.43658 0.00105755
  53 52.5 2.42351 0.00105187
  54 53.5 2.41583 0.00104854
  55 54.5 2.42566 0.0010528
  56 55.5 2.42786 0.00105376
  57 56.5 2.42214 0.00105128
  58 57.5 2.41955 0.00105015
  59 58.5 2.4171 0.00104909
  60 59.5 2.40627 0.00104439
  61 60.5 2.41478 0.00104808
  62 61.5 2.41468 0.00104804
  63 62.5 2.41246 0.00104707
  64 63.5 2.40489 0.00104379
  65 64.5 2.40826 0.00104525
  66 65.5 2.4192 0.00105
  67 66.5 2.4187 0.00104978
  68 67.5 2.41788 0.00104943
  69 68.5 2.42354 0.00105188
  70 69.5 2.42285 0.00105159
  71 70.5 2.42323 0.00105175
  72 71.5 2.42227 0.00105133
  73 72.5 2.41884 0.00104984
  74 73.5 2.41561 0.00104844
  75 74.5 2.4201 0.00105039
  76 75.5 2.41918 0.00104999
  77 76.5 2.41954 0.00105015
  78 77.5 2.41892 0.00104988
  79 78.5 2.4173 0.00104917
  80 79.5 2.41302 0.00104732
  81 80.5 2.41218 0.00104695
  82 81.5 2.40208 0.00104257
  83 82.5 2.39881 0.00104115
  84 83.5 2.4079 0.0010451
  85 84.5 2.41162 0.00104671
  86 85.5 2.40969 0.00104587
  87 86.5 2.41762 0.00104931
  88 87.5 2.42715 0.00105345
  89 88.5 2.42299 0.00105165
  90 89.5 2.42947 0.00105446
  91 90.5 2.41865 0.00104976
  92 91.5 2.42787 0.00105376
  93 92.5 2.43683 0.00105765
  94 93.5 2.42705 0.00105341
  95 94.5 2.42515 0.00105258
  96 95.5 2.43219 0.00105564
  97 96.5 2.42449 0.0010523
  98 97.5 2.4347 0.00105673
  99 98.5 2.43476 0.00105676
  100 99.5 2.42906 0.00105428
  101 100.5 2.41969 0.00105021
  102 101.5 2.42305 0.00105167
  103 102.5 2.4173 0.00104918
  104 103.5 2.40949 0.00104579
  105 104.5 2.40788 0.00104509
  106 105.5 2.39473 0.00103938
  107 106.5 2.39699 0.00104036
  108 107.5 2.39152 0.00103799
  109 108.5 2.39678 0.00104027
  110 109.5 2.39941 0.00104141
  111 110.5 2.39029 0.00103745
  112 111.5 2.39578 0.00103983
  113 112.5 2.39263 0.00103847
  114 113.5 2.39164 0.00103804
  115 114.5 2.39414 0.00103912
  116 115.5 2.38836 0.00103661
  117 116.5 2.39484 0.00103943
  118 117.5 2.40142 0.00104228
  119 118.5 2.38502 0.00103516
  120 119.5 2.39932 0.00104137
  121 120.5 2.39611 0.00103998
  122 121.5 2.39437 0.00103922
  123 122.5 2.40165 0.00104238
  124 123.5 2.39044 0.00103752
  125 124.5 2.40809 0.00104518
  126 125.5 2.40176 0.00104243
  127 126.5 2.39352 0.00103886
  128 127.5 2.39737 0.00104053
  129 128.5 2.39645 0.00104013
  130 129.5 2.39767 0.00104066
  131 130.5 2.40053 0.0010419
  132 131.5 2.40284 0.0010429
  133 132.5 2.40216 0.0010426
  134 133.5 2.38502 0.00103516
  135 134.5 2.38618 0.00103567
  136 135.5 2.38694 0.001036
  137 136.5 2.39023 0.00103742
  138 137.5 2.38965 0.00103718
  139 138.5 2.38358 0.00103454
  140 139.5 2.38039 0.00103315
  141 140.5 2.3813 0.00103355
  142 141.5 2.38679 0.00103593
  143 142.5 2.38876 0.00103679
  144 143.5 2.38331 0.00103442
  145 144.5 2.39112 0.00103781
  146 145.5 2.3783 0.00103225
  147 146.5 2.37669 0.00103155
  148 147.5 2.37821 0.00103221
  149 148.5 2.39835 0.00104095
  150 149.5 2.39571 0.0010398
  151 150.5 2.401 0.0010421
  152 151.5 2.41998 0.00105034
  153 152.5 2.43961 0.00105886
  154 153.5 2.47266 0.0010732
  155 154.5 2.50746 0.00108831
  156 155.5 2.53723 0.00110123
  157 156.5 2.61104 0.00113327
  158 157.5 2.68456 0.00116517
  159 158.5 2.78114 0.00120709
  160 159.5 2.91179 0.0012638
  161 160.5 3.10092 0.00134589
  162 161.5 3.32949 0.00144509
  163 162.5 3.62172 0.00157193
  164 163.5 4.01786 0.00174386
  165 164.5 4.4796 0.00194427
  166 165.5 5.0387 0.00218694
  167 166.5 5.74199 0.00249218
  168 167.5 6.54844 0.0028422
  169 168.5 7.46167 0.00323857
  170 169.5 8.52352 0.00369944
  171 170.5 9.72252 0.00421984
  172 171.5 11.0137 0.00478024
  173 172.5 12.4277 0.00539398
  174 173.5 13.8661 0.00601827
  175 174.5 15.4245 0.00669466
  176 175.5 16.9624 0.00736214
  177 176.5 18.4231 0.00799612
  178 177.5 19.892 0.00863367
  179 178.5 21.2331 0.00921577
  180 179.5 22.4134 0.00972804
  181 180.5 23.5016 0.0102003
  182 181.5 24.4374 0.0106065
  183 182.5 25.2557 0.0109617
  184 183.5 25.892 0.0112378
  185 184.5 26.4515 0.0114807
  186 185.5 26.9101 0.0116797
  187 186.5 27.2521 0.0118282
  188 187.5 27.5439 0.0119548
  189 188.5 27.7989 0.0120655
  190 189.5 27.9496 0.0121309
  191 190.5 28.1225 0.012206
  192 191.5 28.2599 0.0122656
  193 192.5 28.3432 0.0123017
  194 193.5 28.4319 0.0123402
  195 194.5 28.5226 0.0123796
  196 195.5 28.6285 0.0124255
  197 196.5 28.7327 0.0124708
  198 197.5 28.8158 0.0125068
  199 198.5 28.9243 0.0125539
  200 199.5 29.0966 0.0126287
  201 200.5 29.3223 0.0127267
  202 201.5 29.4508 0.0127825
  203 202.5 29.7502 0.0129124
  204 203.5 30.117 0.0130716
  205 204.5 30.584 0.0132743
  206 205.5 31.1013 0.0134988
  207 206.5 31.8117 0.0138071
  208 207.5 32.6889 0.0141879
  209 208.5 33.2046 0.0144117
  210 209.5 32.5421 0.0141242
  211 210.5 29.7096 0.0128948
  212 211.5 24.0184 0.0104246
  213 212.5 16.3283 0.00708694
  214 213.5 9.69527 0.00420802
  215 214.5 5.28708 0.00229474
  216 215.5 2.41589 0.00104856
  217 216.5 1.59791 0.000693536
  218 217.5 0.960632 0.000416941
  219 218.5 0.455924 0.000197884
  220 219.5 0.411502 0.000178603
  221 220.5 0.250512 0.000108729
  222 221.5 0.300494 0.000130423
  223 222.5 0.458258 0.000198897
  224 223.5 0.272148 0.00011812
  225 224.5 0.354602 0.000153907
  226 225.5 0.406952 0.000176628
  227 226.5 0.266392 0.000115622
  228 227.5 0.452914 0.000196577
  229 228.5 0.663808 0.000288111
  230 229.5 0.499572 0.000216828
  231 230.5 0.143056 6.20903e-05
  232 231.5 0.008822 3.82899e-06
  233 232.5 1e-05 4.34028e-09
  234 233.5 0 0
  235 234.5 0 0
  236 235.5 0 0
  237 236.5 0 0
  238 237.5 0 0
  239 238.5 0 0
  240 239.5 0 0
  241 240.5 3.2e-05 1.38889e-08
  242 241.5 0.025986 1.12786e-05
  243 242.5 0.135892 5.89809e-05
  244 243.5 0.25161 0.000109206
  245 244.5 0.394722 0.00017132
  246 245.5 0.176474 7.65946e-05
  247 246.5 0.015262 6.62413e-06
  248 247.5 2.2e-05 9.54861e-09
  249 248.5 0 0
  250 249.5 0 0
  251 250.5 0 0
  252 251.5 0 0
  253 252.5 0 0
  254 253.5 0 0
  255 254.5 0 0
  256 255.5 0 0
  257 256.5 0 0
  258 257.5 0.000536 2.32639e-07
  259 258.5 0.075432 3.27396e-05
  260 259.5 0.13559 5.88498e-05
  261 260.5 0.345154 0.000149806
  262 261.5 0.35051 0.000152131
  263 262.5 0.089078 3.86623e-05
  264 263.5 0.0037 1.6059e-06
  265 264.5 0.000106 4.60069e-08
  266 265.5 0.044022 1.91068e-05
  267 266.5 0.134714 5.84696e-05
  268 267.5 0.303198 0.000131596
  269 268.5 0.640556 0.000278019
  270 269.5 0.491458 0.000213306
  271 270.5 0.206466 8.9612e-05
  272 271.5 0.106964 4.64253e-05
  273 272.5 0.067728 2.93958e-05
  274 273.5 0.004788 2.07813e-06
  275 274.5 0 0
  276 275.5 0 0
  277 276.5 0 0
  278 277.5 0 0
